UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;ALEMANHA;1
AC;ENTRADA;PERMANENTE;ARGENTINA;2
AC;ENTRADA;PERMANENTE;BOLÍVIA;21
AC;ENTRADA;PERMANENTE;COLÔMBIA;2
AC;ENTRADA;PERMANENTE;ESPANHA;1
AC;ENTRADA;PERMANENTE;ITÁLIA;2
AC;ENTRADA;PERMANENTE;MÉXICO;1
AC;ENTRADA;PERMANENTE;PARAGUAI;1
AC;ENTRADA;PERMANENTE;PERU;62
AC;ENTRADA;PERMANENTE;URUGUAI;1
AC;ENTRADA;PERMANENTE;VENEZUELA;1
AC;ENTRADA;VISITANTE;ALEMANHA;10
AC;ENTRADA;VISITANTE;ARGENTINA;9
AC;ENTRADA;VISITANTE;BOLÍVIA;298
AC;ENTRADA;VISITANTE;BÉLGICA;1
AC;ENTRADA;VISITANTE;CHILE;3
AC;ENTRADA;VISITANTE;COLÔMBIA;31
AC;ENTRADA;VISITANTE;COSTA RICA;1
AC;ENTRADA;VISITANTE;EQUADOR;6
AC;ENTRADA;VISITANTE;ESPANHA;5
AC;ENTRADA;VISITANTE;ESTADOS UNIDOS;13
AC;ENTRADA;VISITANTE;FINLÂNDIA;1
AC;ENTRADA;VISITANTE;FRANÇA;1
AC;ENTRADA;VISITANTE;HONG KONG (R.A.E.);1
AC;ENTRADA;VISITANTE;INDONÉSIA;1
AC;ENTRADA;VISITANTE;IRLANDA;1
AC;ENTRADA;VISITANTE;ISRAEL;1
AC;ENTRADA;VISITANTE;ITÁLIA;1
AC;ENTRADA;VISITANTE;MÉXICO;4
AC;ENTRADA;VISITANTE;PARAGUAI;1
AC;ENTRADA;VISITANTE;PERU;791
AC;ENTRADA;VISITANTE;REINO UNIDO;3
AC;ENTRADA;VISITANTE;REPÚBLICA DOMINICANA;8
AC;ENTRADA;VISITANTE;RÚSSIA;1
AC;ENTRADA;VISITANTE;SUÍÇA;6
AC;ENTRADA;VISITANTE;VENEZUELA;17
AC;ENTRADA;VISITANTE;ÁUSTRIA;3
AC;ENTRADA;VISITANTE;BOLÍVIA;2
AC;ENTRADA;VISITANTE;PERU;3
AC;ENTRADA;VISITANTE;BOLÍVIA;43
AC;ENTRADA;VISITANTE;COLÔMBIA;2
AC;ENTRADA;VISITANTE;DINAMARCA;2
AC;ENTRADA;VISITANTE;PERU;79
AC;ENTRADA;VISITANTE;VENEZUELA;6
AC;ENTRADA;VISITANTE;BOLÍVIA;1
AC;ENTRADA;VISITANTE;PERU;10
AC;ENTRADA;OUTROS;BOLÍVIA;226
AC;ENTRADA;OUTROS;BRASIL;26
AC;ENTRADA;OUTROS;PERU;81
AC;ENTRADA;OUTROS;VENEZUELA;7
AC;ENTRADA;OUTROS;CHILE;1
AC;ENTRADA;OUTROS;COLÔMBIA;7
AC;ENTRADA;OUTROS;CUBA;9
AC;ENTRADA;OUTROS;EQUADOR;3
AC;ENTRADA;OUTROS;HAITI;1
AC;ENTRADA;OUTROS;SÍRIA;1
AC;ENTRADA;OUTROS;URUGUAI;1
AC;ENTRADA;OUTROS;VANUATU;1
AC;ENTRADA;OUTROS;VENEZUELA;40
AC;ENTRADA;OUTROS;COLÔMBIA;5
AC;ENTRADA;OUTROS;EQUADOR;1
AC;ENTRADA;OUTROS;VENEZUELA;8
AC;ENTRADA;OUTROS;BOLÍVIA;6
AC;ENTRADA;OUTROS;COLÔMBIA;11
AC;ENTRADA;OUTROS;CUBA;2
AC;ENTRADA;OUTROS;EQUADOR;1
AC;ENTRADA;OUTROS;HAITI;2
AC;ENTRADA;OUTROS;PAQUISTÃO;1
AC;ENTRADA;OUTROS;PERU;11
AC;ENTRADA;OUTROS;VENEZUELA;280
AC;ENTRADA;OUTROS;ITÁLIA;2
AC;ENTRADA;OUTROS;PERU;2
AC;ENTRADA;OUTROS;BRASIL;1052
AC;SAIDA;PERMANENTE;ARGENTINA;2
AC;SAIDA;PERMANENTE;BOLÍVIA;20
AC;SAIDA;PERMANENTE;COLÔMBIA;2
AC;SAIDA;PERMANENTE;COSTA RICA;1
AC;SAIDA;PERMANENTE;EQUADOR;2
AC;SAIDA;PERMANENTE;ESPANHA;2
AC;SAIDA;PERMANENTE;FRANÇA;1
AC;SAIDA;PERMANENTE;ITÁLIA;2
AC;SAIDA;PERMANENTE;MÉXICO;1
AC;SAIDA;PERMANENTE;PARAGUAI;1
AC;SAIDA;PERMANENTE;PERU;79
AC;SAIDA;PERMANENTE;RÚSSIA;1
AC;SAIDA;PERMANENTE;VENEZUELA;5
AC;SAIDA;VISITANTE;ALEMANHA;4
AC;SAIDA;VISITANTE;ARGENTINA;15
AC;SAIDA;VISITANTE;BOLÍVIA;272
AC;SAIDA;VISITANTE;BÉLGICA;1
AC;SAIDA;VISITANTE;CHINA;1
AC;SAIDA;VISITANTE;COLÔMBIA;21
AC;SAIDA;VISITANTE;COSTA RICA;1
AC;SAIDA;VISITANTE;DINAMARCA;2
AC;SAIDA;VISITANTE;EQUADOR;5
AC;SAIDA;VISITANTE;ESPANHA;2
AC;SAIDA;VISITANTE;ESTADOS UNIDOS;8
AC;SAIDA;VISITANTE;ESTÔNIA;2
AC;SAIDA;VISITANTE;FINLÂNDIA;1
AC;SAIDA;VISITANTE;FRANÇA;3
AC;SAIDA;VISITANTE;GUIANA;1
AC;SAIDA;VISITANTE;INDONÉSIA;1
AC;SAIDA;VISITANTE;ITÁLIA;3
AC;SAIDA;VISITANTE;MÉXICO;2
AC;SAIDA;VISITANTE;PAÍSES BAIXOS;2
AC;SAIDA;VISITANTE;PERU;783
AC;SAIDA;VISITANTE;PORTUGAL;2
AC;SAIDA;VISITANTE;REINO UNIDO;3
AC;SAIDA;VISITANTE;REPÚBLICA DOMINICANA;1
AC;SAIDA;VISITANTE;RÚSSIA;1
AC;SAIDA;VISITANTE;SUÍÇA;2
AC;SAIDA;VISITANTE;URUGUAI;1
AC;SAIDA;VISITANTE;VENEZUELA;10
AC;SAIDA;VISITANTE;BOLÍVIA;3
AC;SAIDA;VISITANTE;ESPANHA;1
AC;SAIDA;VISITANTE;PERU;1
AC;SAIDA;VISITANTE;BOLÍVIA;43
AC;SAIDA;VISITANTE;COLÔMBIA;2
AC;SAIDA;VISITANTE;PERU;76
AC;SAIDA;VISITANTE;VENEZUELA;3
AC;SAIDA;VISITANTE;PERU;3
AC;SAIDA;OUTROS;BOLÍVIA;220
AC;SAIDA;OUTROS;BRASIL;47
AC;SAIDA;OUTROS;PERU;71
AC;SAIDA;OUTROS;VENEZUELA;1
AC;SAIDA;OUTROS;COLÔMBIA;1
AC;SAIDA;OUTROS;CUBA;2
AC;SAIDA;OUTROS;RÚSSIA;1
AC;SAIDA;OUTROS;VENEZUELA;3
AC;SAIDA;OUTROS;BOLÍVIA;1
AC;SAIDA;OUTROS;CHILE;1
AC;SAIDA;OUTROS;VENEZUELA;2
AC;SAIDA;OUTROS;BRASIL;1230
AL;ENTRADA;PERMANENTE;ARGENTINA;4
AL;ENTRADA;PERMANENTE;BÉLGICA;1
AL;ENTRADA;PERMANENTE;ESPANHA;1
AL;ENTRADA;PERMANENTE;ITÁLIA;7
AL;ENTRADA;PERMANENTE;PARAGUAI;1
AL;ENTRADA;PERMANENTE;PORTUGAL;1
